Cas_Praha,Predicted_Funding_%,Premium_Index,Zmena_%,Pocet_dat,Okno,Ciel_Settlement
2025-06-14 02:00:01+02:00,0.0034510373443983385,-0.0004654896265560166,,241,1,06:00
2025-06-14 02:10:01+02:00,0.003239043824701201,-0.000467609561752988,-0.00021199351969713748,251,1,06:00
2025-06-14 02:20:01+02:00,0.003434865900383139,-0.0004656513409961686,0.00019582207568193816,261,1,06:00
2025-06-14 02:30:01+02:00,0.0034922509225092215,-0.0004650774907749078,5.738502212608229e-05,271,1,06:00
2025-06-14 02:40:01+02:00,0.0033548042704626344,-0.00046645195729537366,-0.00013744665204658713,281,1,06:00
2025-06-14 02:50:01+02:00,0.00320962199312715,-0.0004679037800687285,-0.00014518227733548422,291,1,06:00
2025-06-14 03:00:01+02:00,0.003122591362126248,-0.00046877408637873753,-8.703063100090223e-05,301,1,06:00
2025-06-14 03:10:01+02:00,0.002488424437299035,-0.00047511575562700966,-0.0006341669248272129,311,1,06:00
2025-06-14 03:20:01+02:00,0.0024461059190031167,-0.00047553894080996884,-4.231851829591829e-05,321,1,06:00
2025-06-14 03:30:01+02:00,0.002577039274924474,-0.00047422960725075527,0.00013093335592135723,331,1,06:00
2025-06-14 03:40:01+02:00,0.0026099706744868003,-0.000473900293255132,3.29313995623263e-05,341,1,06:00
2025-06-14 03:50:01+02:00,0.0026404558404558376,-0.00047359544159544163,3.048516596903736e-05,351,1,06:00
2025-06-14 04:00:01+02:00,0.002306371191135737,-0.00047693628808864264,-0.0003340846493201004,361,1,06:00
2025-06-14 04:10:01+02:00,0.0020705234159779607,-0.0004792947658402204,-0.00023584777515777647,371,1,06:00
2025-06-14 04:20:01+02:00,0.0020705234159779607,-0.0004792947658402204,0.0,381,1,06:00
2025-06-14 04:30:01+02:00,0.0020705234159779607,-0.0004792947658402204,0.0,391,1,06:00
2025-06-14 04:40:01+02:00,0.0020705234159779607,-0.0004792947658402204,0.0,401,1,06:00
2025-06-14 04:50:01+02:00,0.0020705234159779607,-0.0004792947658402204,0.0,411,1,06:00
2025-06-14 05:00:01+02:00,0.0020705234159779607,-0.0004792947658402204,0.0,421,1,06:00
2025-06-14 05:10:01+02:00,0.0020705234159779607,-0.0004792947658402204,0.0,431,1,06:00
2025-06-14 05:20:01+02:00,0.0020705234159779607,-0.0004792947658402204,0.0,441,1,06:00
2025-06-14 05:30:01+02:00,0.0020705234159779607,-0.0004792947658402204,0.0,451,1,06:00
2025-06-14 05:40:01+02:00,0.0020705234159779607,-0.0004792947658402204,0.0,461,1,06:00
2025-06-14 05:50:01+02:00,0.0020705234159779607,-0.0004792947658402204,0.0,471,1,06:00
2025-06-14 06:51:00+02:00,0.009999999999999998,3.1e-05,0.007929476584022037,52,2,14:00
2025-06-14 07:01:00+02:00,0.007090909090909088,-0.00042909090909090913,-0.0029090909090909106,62,2,14:00
2025-06-14 07:11:00+02:00,0.006690476190476189,-0.0004330952380952381,-0.0004004329004328984,72,2,14:00
2025-06-14 07:21:00+02:00,0.0059290322580645176,-0.00044070967741935483,-0.0007614439324116718,82,2,14:00
2025-06-14 07:31:00+02:00,0.0072780487804878025,-0.000427219512195122,0.001349016522423285,92,2,14:00
2025-06-14 07:41:00+02:00,0.008443137254901967,-0.00041556862745098034,0.001165088474414165,102,2,14:00
2025-06-14 07:51:00+02:00,0.008359016393442623,-0.0004164098360655738,-8.412086145934486e-05,112,2,14:00
2025-06-14 08:01:00+02:00,0.007325352112676057,-0.00042674647887323944,-0.0010336642807665655,122,2,14:00
2025-06-14 08:11:00+02:00,0.0075716049382716045,-0.00042428395061728396,0.0002462528255955474,132,2,14:00
2025-06-14 08:21:00+02:00,0.008454945054945057,-0.00041545054945054945,0.0008833401166734528,142,2,14:00
2025-06-14 08:31:00+02:00,0.009246534653465342,-0.0004075346534653466,0.0007915895985202842,152,2,14:00
2025-06-14 08:41:00+02:00,0.010000000000000005,-0.00039691891891891894,0.0007534653465346638,162,2,14:00
2025-06-14 08:51:00+02:00,0.009999999999999998,-0.0003882231404958678,-6.938893903907228e-18,172,2,14:00
2025-06-14 09:01:00+02:00,0.009999999999999998,-0.00037872519083969464,0.0,182,2,14:00
2025-06-14 09:11:00+02:00,0.009999999999999998,-0.00037083687943262415,0.0,192,2,14:00
2025-06-14 09:21:00+02:00,0.009999999999999998,-0.00036847019867549666,0.0,202,2,14:00
2025-06-14 09:31:00+02:00,0.009999999999999998,-0.0003649689440993789,0.0,212,2,14:00
2025-06-14 09:41:00+02:00,0.009999999999999998,-0.000361906432748538,0.0,222,2,14:00
2025-06-14 09:51:00+02:00,0.009999999999999998,-0.00035854143646408843,0.0,232,2,14:00
2025-06-14 10:01:00+02:00,0.009999999999999998,-0.000355303664921466,0.0,242,2,14:00
2025-06-14 10:11:00+02:00,0.009999999999999998,-0.00035513432835820896,0.0,252,2,14:00
2025-06-14 10:21:00+02:00,0.009999999999999998,-0.00035537440758293836,0.0,262,2,14:00
2025-06-14 10:31:00+02:00,0.009999999999999998,-0.0003543755656108597,0.0,272,2,14:00
2025-06-14 10:41:00+02:00,0.009999999999999998,-0.0003533722943722944,0.0,282,2,14:00
2025-06-14 10:51:00+02:00,0.009999999999999998,-0.0003532199170124482,0.0,292,2,14:00
2025-06-14 11:01:00+02:00,0.009999999999999998,-0.00035180876494023903,0.0,302,2,14:00
2025-06-14 11:11:00+02:00,0.009999999999999998,-0.0003544022988505747,0.0,312,2,14:00
2025-06-14 11:21:00+02:00,0.009999999999999998,-0.00035473062730627305,0.0,322,2,14:00
2025-06-14 11:31:00+02:00,0.009999999999999998,-0.0003556725978647687,0.0,332,2,14:00
2025-06-14 11:41:00+02:00,0.009999999999999998,-0.0003576254295532646,0.0,342,2,14:00
2025-06-14 11:51:00+02:00,0.009999999999999998,-0.00035838538205980064,0.0,352,2,14:00
2025-06-14 12:01:00+02:00,0.009999999999999998,-0.000360128617363344,0.0,362,2,14:00
2025-06-14 12:11:00+02:00,0.009999999999999998,-0.0003615046728971963,0.0,372,2,14:00
2025-06-14 12:21:00+02:00,0.009999999999999998,-0.0003621782477341389,0.0,382,2,14:00
2025-06-14 12:31:00+02:00,0.009999999999999998,-0.0003624897360703812,0.0,392,2,14:00
2025-06-14 12:41:00+02:00,0.009999999999999998,-0.00036316524216524216,0.0,402,2,14:00
2025-06-14 12:51:00+02:00,0.009999999999999998,-0.00036518005540166204,0.0,412,2,14:00
2025-06-14 13:01:00+02:00,0.009999999999999998,-0.0003663477088948787,0.0,422,2,14:00
2025-06-14 13:11:00+02:00,0.009999999999999998,-0.00036715223097112865,0.0,432,2,14:00
2025-06-14 13:21:00+02:00,0.009999999999999998,-0.00036773401534526855,0.0,442,2,14:00
2025-06-14 13:31:00+02:00,0.009999999999999998,-0.0003698453865336658,0.0,452,2,14:00
2025-06-14 13:41:00+02:00,0.009999999999999998,-0.00037221411192214115,0.0,462,2,14:00
2025-06-14 13:51:00+02:00,0.009999999999999998,-0.0003737125890736342,0.0,472,2,14:00
2025-06-14 14:01:00+02:00,0.002599999999999998,-0.00047400000000000003,-0.0074,2,3,22:00
2025-06-14 14:11:00+02:00,-0.0022916666666666636,-0.0005229166666666666,-0.004891666666666662,12,3,22:00
2025-06-14 14:21:00+02:00,-0.000636363636363638,-0.0005063636363636364,0.0016553030303030256,22,3,22:00
2025-06-14 14:31:00+02:00,0.0012750000000000012,-0.00048725,0.0019113636363636392,32,3,22:00
2025-06-14 14:41:00+02:00,0.0024928571428571413,-0.0004750714285714286,0.00121785714285714,42,3,22:00
2025-06-14 14:51:00+02:00,0.004509615384615386,-0.00045490384615384615,0.002016758241758245,52,3,22:00
